task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,within_subject_5fold,1,1,1,32,8,0.5,0.5,0.5,0.5,0.4666666666666667
2class,lda,within_subject_5fold,2,1,2,32,8,0.5,0.5,0.5,0.5,0.4666666666666667
2class,lda,within_subject_5fold,3,1,3,32,8,0.5,0.5,0.5,0.5,0.4666666666666667
2class,lda,within_subject_5fold,4,1,4,32,8,0.5,0.5,0.5,0.5,0.5
2class,lda,within_subject_5fold,5,1,5,32,8,0.5,0.5,0.5,0.5,0.4666666666666667
2class,lda,within_subject_5fold,6,2,1,32,8,0.625,0.625,0.6333333333333333,0.625,0.6190476190476191
2class,lda,within_subject_5fold,7,2,2,32,8,0.625,0.625,0.7857142857142857,0.625,0.5636363636363637
2class,lda,within_subject_5fold,8,2,3,32,8,0.75,0.75,0.8333333333333333,0.75,0.7333333333333334
2class,lda,within_subject_5fold,9,2,4,32,8,0.625,0.625,0.6333333333333333,0.625,0.6190476190476191
2class,lda,within_subject_5fold,10,2,5,32,8,0.75,0.75,0.75,0.75,0.75
2class,lda,within_subject_5fold,11,3,1,32,8,0.375,0.375,0.21428571428571427,0.375,0.2727272727272727
2class,lda,within_subject_5fold,12,3,2,32,8,0.75,0.75,0.75,0.75,0.75
2class,lda,within_subject_5fold,13,3,3,32,8,0.625,0.625,0.6333333333333333,0.625,0.6190476190476191
2class,lda,within_subject_5fold,14,3,4,32,8,0.5,0.5,0.5,0.5,0.5
2class,lda,within_subject_5fold,15,3,5,32,8,0.375,0.375,0.21428571428571427,0.375,0.2727272727272727
2class,lda,within_subject_5fold,16,4,1,32,8,0.375,0.375,0.3666666666666667,0.375,0.36507936507936506
2class,lda,within_subject_5fold,17,4,2,32,8,0.5,0.5,0.5,0.5,0.4666666666666667
2class,lda,within_subject_5fold,18,4,3,32,8,0.625,0.625,0.6333333333333333,0.625,0.6190476190476191
2class,lda,within_subject_5fold,19,4,4,32,8,0.25,0.25,0.25,0.25,0.25
